Token,True Label,Predicted Label,Features
Madrid,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Belgrade,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Bologna,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
International,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
INTERNATIONAL,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
International,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Dnes,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ROMANIA,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Romania,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Democratic,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
Civic,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Democrats,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Two,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=NNP': 1.0}"
Banking,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Two,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=NNP': 1.0}"
Piwowarskie,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
w,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Zywcu,I-ORG,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
African,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Light,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Timah,I-ORG,B-ORG,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=VBG': 1.0}"
Tambang,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=PRP': 1.0}"
Timah,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Telekomunikasi,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=PRP': 1.0}"
Indonesia,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Ireland,I-LOC,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Republican,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mergers,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fair,I-ORG,I-MISC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Airways-American,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=NNP': 1.0}"
Heathrow,I-LOC,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Worth,I-LOC,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fair,I-ORG,I-MISC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fair,I-ORG,I-MISC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Grammar,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Commons,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=JJR': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Commons,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=IN': 1.0}"
Control,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Indies,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Indies,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Indies,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Rupert,I-LOC,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Queen,I-MISC,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
SEA,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=VBN': 1.0}"
Resource,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Tanura,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=SYM': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
I,I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=PRP': 1.0, 'prev_pos_tag=NN': 1.0}"
Kreir,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=SYM': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Kreir,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=SYM': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
",",I-ORG,O,"{'chunk_tag=O': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=,': 1.0, 'prev_pos_tag=NNP': 1.0}"
Sachs,I-ORG,B-PER,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=,': 1.0}"
City,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
MOINES,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=MD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=MD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Dome,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=POS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Francisco,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=)': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-MISC,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=DT': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Fe,I-ORG,B-PER,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=POS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=VB': 1.0}"
Street,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Berrie,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Berrie,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=O': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
sans,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=FW': 1.0, 'pos_tag=FW': 1.0, 'prev_pos_tag=NNPS': 1.0}"
Frontieres,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=FW': 1.0, 'prev_pos_tag=FW': 1.0}"
LOUIS,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=JJ': 1.0}"
Louis,I-LOC,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
African,I-LOC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
African,I-LOC,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Faso,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=WRB': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
African,I-LOC,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Faso,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Faso,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
West,I-LOC,O,"{'chunk_tag=I-ADJP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
Weather,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Church,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=RB': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Plus,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nikel,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Pank,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Pank,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Pank,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Pact,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Union,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
for,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=DT': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
a,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=DT': 1.0, 'prev_pos_tag=IN': 1.0}"
Democratic,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=DT': 1.0}"
Slovakia,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
DE,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JANEIRO,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Surgery,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Blanca,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Aires,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNPS': 1.0}"
CITY,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-LOC,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mexico,I-LOC,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
California,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
California,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-LOC,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mexico,I-LOC,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Roo,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
DE,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
JANEIRO,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
de,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Janeiro,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Timorese,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=NNP': 1.0}"
Peace,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Timorese-born,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
